user,items
27,"['yogurt', 'butter milk', 'canned beer', 'chocolate', 'hard cheese', 'rolls/buns', 'shopping bags', 'UHT-milk', 'brown bread', 'whole milk']"
28,"['beef', 'canned beer', 'butter milk', 'chocolate', 'rolls/buns', 'brown bread', 'butter', 'UHT-milk', 'whole milk', 'cake bar']"
29,"['beef', 'bottled beer', 'canned beer', 'rolls/buns', 'shopping bags', 'whole milk', 'coffee', 'dish cleaner', 'fruit/vegetable juice', 'root vegetables']"
30,"['bottled beer', 'canned beer', 'rolls/buns', 'shopping bags', 'whole milk', 'coffee', 'pastry']"
31,"['bottled beer', 'candy', 'canned beer', 'rolls/buns', 'shopping bags', 'butter', 'semi-finished bread', 'whole milk', 'pastry', 'root vegetables']"
32,"['chicken', 'yogurt', 'beef', 'butter milk', 'canned fish', 'rolls/buns', 'shopping bags', 'dessert', 'frozen meals', 'brown bread']"
33,"['chicken', 'cat food', 'yogurt', 'canned beer', 'chocolate', 'flour', 'rolls/buns', 'liquor', 'berries', 'semi-finished bread']"
34,"['yogurt', 'hard cheese', 'shopping bags', 'dessert', 'frozen meals', 'salty snack', 'soft cheese', 'coffee', 'brown bread', 'UHT-milk']"
35,"['chicken', 'yogurt', 'beef', 'canned beer', 'meat', 'canned fish', 'bottled beer', 'hard cheese', 'rolls/buns', 'cream cheese']"
36,"['yogurt', 'bottled beer', 'canned beer', 'condensed milk', 'rolls/buns', 'flour', 'brown bread', 'frozen meals', 'dessert', 'whole milk']"
37,"['canned beer', 'bottled beer', 'flour', 'rolls/buns', 'brown bread', 'whole milk', 'pastry', 'fruit/vegetable juice']"
38,"['yogurt', 'beef', 'bottled beer', 'canned beer', 'liquor', 'rolls/buns', 'shopping bags', 'dessert', 'brown bread', 'pickled vegetables']"
39,"['yogurt', 'canned beer', 'chocolate', 'flour', 'rolls/buns', 'whole milk', 'soft cheese', 'pastry', 'fruit/vegetable juice', 'pet care']"
40,"['yogurt', 'canned beer', 'candy', 'mayonnaise', 'rolls/buns', 'shopping bags', 'dessert', 'frozen meals', 'whole milk', 'pastry']"
41,"['yogurt', 'beef', 'candy', 'canned beer', 'meat', 'chocolate', 'mayonnaise', 'flour', 'brown bread', 'pickled vegetables']"
42,"['canned beer', 'brown bread', 'salty snack', 'mustard', 'detergent', 'chewing gum', 'whole milk', 'pastry', 'onions', 'rolls/buns']"
43,"['chicken', 'yogurt', 'butter milk', 'canned beer', 'bottled beer', 'chocolate', 'hard cheese', 'rolls/buns', 'whole milk', 'soft cheese']"
44,"['chicken', 'yogurt', 'cat food', 'butter milk', 'canned beer', 'beef', 'rolls/buns', 'UHT-milk', 'whole milk', 'coffee']"
45,"['yogurt', 'beef', 'canned beer', 'chocolate', 'hard cheese', 'rolls/buns', 'brown bread', 'salty snack', 'frozen meals', 'whole milk']"
46,"['yogurt', 'cat food', 'beef', 'flour', 'brown bread', 'butter', 'semi-finished bread', 'whole milk', 'coffee', 'dessert']"
47,"['chicken', 'bottled beer', 'rolls/buns', 'shopping bags', 'butter', 'whole milk', 'coffee', 'pastry', 'root vegetables', 'herbs']"
48,"['chicken', 'yogurt', 'bottled beer', 'liquor', 'cream cheese', 'shopping bags', 'brown bread', 'salty snack', 'butter', 'whole milk']"
49,"['yogurt', 'bottled beer', 'flour', 'rolls/buns', 'shopping bags', 'UHT-milk', 'butter', 'brown bread', 'whole milk', 'salty snack']"
50,"['chicken', 'yogurt', 'candy', 'canned beer', 'meat', 'rolls/buns', 'cream cheese', 'shopping bags', 'UHT-milk', 'salty snack']"
51,"['chicken', 'cat food', 'yogurt', 'beef', 'candy', 'bottled beer', 'chocolate', 'hard cheese', 'condensed milk', 'rolls/buns']"
52,"['yogurt', 'beef', 'canned beer', 'bottled beer', 'liquor', 'shopping bags', 'brown bread', 'pickled vegetables', 'whole milk', 'pastry']"
53,"['yogurt', 'beef', 'canned beer', 'chocolate', 'rolls/buns', 'cream cheese', 'shopping bags', 'dessert', 'UHT-milk', 'semi-finished bread']"
54,"['chicken', 'yogurt', 'canned beer', 'rolls/buns', 'cream cheese', 'shopping bags', 'pickled vegetables', 'butter', 'frozen meals', 'whole milk']"
55,"['chicken', 'yogurt', 'candy', 'condensed milk', 'rolls/buns', 'brown bread', 'butter', 'semi-finished bread', 'whole milk', 'coffee']"
56,"['chicken', 'cat food', 'beef', 'canned beer', 'chocolate', 'rolls/buns', 'shopping bags', 'butter', 'semi-finished bread', 'whole milk']"
57,"['cat food', 'yogurt', 'bottled beer', 'canned beer', 'chocolate', 'rolls/buns', 'shopping bags', 'UHT-milk', 'whole milk', 'cake bar']"
58,"['cat food', 'yogurt', 'beef', 'bottled beer', 'canned beer', 'hard cheese', 'rolls/buns', 'cream cheese', 'UHT-milk', 'butter']"
59,"['yogurt', 'canned beer', 'rolls/buns', 'shopping bags', 'pickled vegetables', 'brown bread', 'salty snack', 'whole milk', 'pastry', 'fruit/vegetable juice']"
60,"['yogurt', 'beef', 'canned beer', 'bottled beer', 'hard cheese', 'rolls/buns', 'brown bread', 'salty snack', 'whole milk', 'detergent']"
61,"['chicken', 'meat', 'berries', 'whole milk', 'dish cleaner', 'canned fish', 'frankfurter']"
62,"['cat food', 'yogurt', 'beef', 'candy', 'butter milk', 'chocolate', 'hard cheese', 'rolls/buns', 'shopping bags', 'brown bread']"
63,"['yogurt', 'canned beer', 'chocolate', 'rolls/buns', 'cream cheese', 'shopping bags', 'pickled vegetables', 'frozen meals', 'semi-finished bread', 'whole milk']"
64,"['chicken', 'beef', 'bottled beer', 'hard cheese', 'rolls/buns', 'shopping bags', 'berries', 'frozen meals', 'whole milk', 'pastry']"
65,"['yogurt', 'bottled beer', 'rolls/buns', 'shopping bags', 'UHT-milk', 'frozen meals', 'berries', 'whole milk', 'butter', 'coffee']"
66,"['chicken', 'yogurt', 'bottled beer', 'pickled vegetables', 'butter', 'berries', 'whole milk', 'pastry', 'root vegetables', 'frankfurter']"
67,"['chicken', 'yogurt', 'meat', 'chocolate', 'hard cheese', 'rolls/buns', 'UHT-milk', 'whole milk', 'coffee', 'pastry']"
68,"['chicken', 'beef', 'canned beer', 'hard cheese', 'liquor', 'cream cheese', 'shopping bags', 'pickled vegetables', 'rolls/buns', 'frozen meals']"
69,"['yogurt', 'cat food', 'beef', 'canned beer', 'chocolate', 'hard cheese', 'rolls/buns', 'shopping bags', 'pickled vegetables', 'berries']"
70,"['yogurt', 'rolls/buns', 'pickled vegetables', 'whole milk', 'coffee', 'fruit/vegetable juice', 'root vegetables', 'frankfurter']"
71,"['yogurt', 'cat food', 'beef', 'canned beer', 'chocolate', 'rolls/buns', 'cream cheese', 'shopping bags', 'pickled vegetables', 'butter']"
72,"['beef', 'butter', 'mustard', 'chewing gum', 'cat food', 'bottled beer', 'condensed milk', 'whole milk', 'pastry', 'rolls/buns']"
73,"['yogurt', 'bottled beer', 'meat', 'flour', 'rolls/buns', 'shopping bags', 'UHT-milk', 'semi-finished bread', 'whole milk', 'pastry']"
74,"['chicken', 'rolls/buns', 'brown bread', 'berries', 'pastry', 'dish cleaner', 'root vegetables', 'chocolate marshmallow', 'frankfurter', 'onions']"
75,"['cat food', 'beef', 'bottled beer', 'rolls/buns', 'shopping bags', 'dessert', 'berries', 'UHT-milk', 'coffee', 'pastry']"
76,"['yogurt', 'butter milk', 'flour', 'rolls/buns', 'shopping bags', 'pickled vegetables', 'butter', 'whole milk', 'dog food', 'detergent']"
77,"['cat food', 'yogurt', 'butter milk', 'bottled beer', 'candy', 'beef', 'flour', 'rolls/buns', 'shopping bags', 'brown bread']"
78,"['cat food', 'yogurt', 'canned beer', 'mayonnaise', 'hard cheese', 'rolls/buns', 'shopping bags', 'butter', 'berries', 'whole milk']"
79,"['yogurt', 'butter milk', 'bottled beer', 'canned beer', 'shopping bags', 'whole milk', 'coffee', 'pastry', 'root vegetables', 'frankfurter']"
80,"['yogurt', 'butter milk', 'canned beer', 'chocolate', 'mayonnaise', 'cream cheese', 'brown bread', 'semi-finished bread', 'whole milk', 'cake bar']"
81,"['chicken', 'cat food', 'yogurt', 'beef', 'bottled beer', 'rolls/buns', 'brown bread', 'salty snack', 'pickled vegetables', 'whole milk']"
82,"['flour', 'rolls/buns', 'cream cheese', 'dessert', 'brown bread', 'salty snack', 'whole milk', 'coffee', 'mustard', 'butter']"
83,"['candy', 'brown bread', 'berries', 'herbs', 'bottled beer', 'meat', 'whole milk', 'soft cheese', 'pastry', 'hard cheese']"
84,"['chicken', 'yogurt', 'beef', 'bottled beer', 'chocolate', 'rolls/buns', 'shopping bags', 'berries', 'semi-finished bread', 'whole milk']"
85,"['yogurt', 'butter milk', 'canned beer', 'chocolate', 'rolls/buns', 'dessert', 'butter', 'semi-finished bread', 'whole milk', 'berries']"
86,"['yogurt', 'butter milk', 'bottled beer', 'canned beer', 'meat', 'beef', 'liquor', 'cream cheese', 'UHT-milk', 'dessert']"
87,"['yogurt', 'beef', 'canned beer', 'meat', 'candy', 'UHT-milk', 'dessert', 'frozen meals', 'whole milk', 'brown bread']"
88,"['chicken', 'yogurt', 'chocolate', 'hard cheese', 'rolls/buns', 'cream cheese', 'condensed milk', 'brown bread', 'UHT-milk', 'semi-finished bread']"
89,"['yogurt', 'beef', 'rolls/buns', 'cream cheese', 'shopping bags', 'brown bread', 'salty snack', 'dessert', 'butter', 'coffee']"
90,"['chicken', 'yogurt', 'cat food', 'butter milk', 'beef', 'canned beer', 'rolls/buns', 'cream cheese', 'whole milk', 'pastry']"
91,"['candy', 'brown bread', 'salty snack', 'butter', 'detergent', 'chewing gum', 'bottled beer', 'meat', 'liquor', 'soft cheese']"
92,"['yogurt', 'cat food', 'butter milk', 'beef', 'hard cheese', 'rolls/buns', 'cream cheese', 'shopping bags', 'dessert', 'butter']"
93,"['yogurt', 'canned beer', 'meat', 'chocolate', 'hard cheese', 'shopping bags', 'brown bread', 'frozen meals', 'whole milk', 'coffee']"
94,"['yogurt', 'canned beer', 'flour', 'rolls/buns', 'hard cheese', 'shopping bags', 'whole milk', 'coffee', 'detergent', 'root vegetables']"
95,"['yogurt', 'bottled beer', 'meat', 'chocolate', 'rolls/buns', 'UHT-milk', 'salty snack', 'brown bread', 'whole milk', 'detergent']"
96,"['chicken', 'yogurt', 'canned beer', 'bottled beer', 'rolls/buns', 'shopping bags', 'butter', 'whole milk', 'pastry', 'fruit/vegetable juice']"
97,"['chicken', 'cat food', 'candy', 'chocolate', 'mayonnaise', 'rolls/buns', 'flour', 'shopping bags', 'UHT-milk', 'butter']"
98,"['yogurt', 'canned beer', 'bottled beer', 'chocolate', 'rolls/buns', 'cream cheese', 'shopping bags', 'UHT-milk', 'brown bread', 'dessert']"
99,"['yogurt', 'hard cheese', 'dessert', 'brown bread', 'berries', 'whole milk', 'coffee', 'cake bar', 'semi-finished bread', 'pastry']"
100,"['butter milk', 'candy', 'bottled beer', 'meat', 'canned beer', 'shopping bags', 'UHT-milk', 'brown bread', 'whole milk', 'dish cleaner']"
101,"['cat food', 'yogurt', 'butter milk', 'canned beer', 'meat', 'beef', 'rolls/buns', 'cream cheese', 'brown bread', 'butter']"
102,"['chicken', 'yogurt', 'rolls/buns', 'shopping bags', 'berries', 'butter', 'whole milk', 'cling film/bags', 'pastry', 'fruit/vegetable juice']"
103,"['yogurt', 'bottled beer', 'meat', 'hard cheese', 'rolls/buns', 'cream cheese', 'shopping bags', 'UHT-milk', 'brown bread', 'semi-finished bread']"
104,"['beef', 'flour', 'salty snack', 'butter', 'berries', 'detergent', 'chewing gum', 'bottled beer', 'meat', 'whole milk']"
105,"['chicken', 'yogurt', 'meat', 'rolls/buns', 'dessert', 'butter', 'berries', 'whole milk', 'coffee', 'fruit/vegetable juice']"
106,"['chicken', 'yogurt', 'beef', 'canned beer', 'meat', 'bottled beer', 'rolls/buns', 'cream cheese', 'dessert', 'berries']"
107,"['yogurt', 'candy', 'canned beer', 'rolls/buns', 'salty snack', 'whole milk', 'coffee', 'cake bar', 'pastry', 'cling film/bags']"
108,"['chicken', 'yogurt', 'butter milk', 'bottled beer', 'meat', 'candy', 'hard cheese', 'mayonnaise', 'cream cheese', 'brown bread']"
109,"['chicken', 'butter milk', 'bottled beer', 'rolls/buns', 'liquor', 'shopping bags', 'UHT-milk', 'frozen meals', 'brown bread', 'mustard']"
110,"['yogurt', 'beef', 'bottled beer', 'candy', 'butter milk', 'canned beer', 'mayonnaise', 'rolls/buns', 'pickled vegetables', 'UHT-milk']"
111,"['chicken', 'cat food', 'yogurt', 'candy', 'rolls/buns', 'shopping bags', 'whole milk', 'mustard', 'fruit/vegetable juice', 'root vegetables']"
112,"['chicken', 'yogurt', 'cat food', 'beef', 'bottled beer', 'canned beer', 'chocolate', 'rolls/buns', 'dessert', 'butter']"
113,"['yogurt', 'butter milk', 'candy', 'canned beer', 'hard cheese', 'rolls/buns', 'cream cheese', 'shopping bags', 'pickled vegetables', 'frozen meals']"
114,"['cat food', 'yogurt', 'bottled beer', 'meat', 'canned beer', 'UHT-milk', 'butter', 'brown bread', 'whole milk', 'soft cheese']"
115,"['candy', 'flour', 'brown bread', 'salty snack', 'cling film/bags', 'meat', 'condensed milk', 'whole milk', 'pastry', 'rolls/buns']"
116,"['chicken', 'canned beer', 'bottled beer', 'candy', 'rolls/buns', 'cream cheese', 'shopping bags', 'UHT-milk', 'brown bread', 'dessert']"
117,"['chicken', 'yogurt', 'beef', 'canned beer', 'bottled beer', 'candy', 'cream cheese', 'shopping bags', 'brown bread', 'UHT-milk']"
118,"['yogurt', 'butter milk', 'bottled beer', 'beef', 'canned beer', 'chocolate', 'flour', 'rolls/buns', 'cream cheese', 'shopping bags']"
119,"['yogurt', 'beef', 'canned beer', 'chocolate', 'hard cheese', 'rolls/buns', 'flour', 'shopping bags', 'brown bread', 'butter']"
120,"['cat food', 'yogurt', 'candy', 'canned beer', 'bottled beer', 'chocolate', 'rolls/buns', 'root vegetables', 'shopping bags', 'salty snack']"
121,"['yogurt', 'canned beer', 'rolls/buns', 'shopping bags', 'dessert', 'frozen meals', 'semi-finished bread', 'whole milk', 'UHT-milk', 'coffee']"
122,"['bottled beer', 'canned beer', 'meat', 'chocolate', 'condensed milk', 'rolls/buns', 'UHT-milk', 'butter', 'whole milk', 'coffee']"
123,"['yogurt', 'canned beer', 'meat', 'chocolate', 'hard cheese', 'rolls/buns', 'cream cheese', 'salty snack', 'butter', 'whole milk']"
124,"['beef', 'canned beer', 'candy', 'flour', 'liquor', 'shopping bags', 'dessert', 'berries', 'whole milk', 'pastry']"
125,"['candy', 'canned beer', 'flour', 'salty snack', 'berries', 'chocolate marshmallow', 'bottled beer', 'condensed milk', 'pastry', 'hard cheese']"
126,"['chicken', 'cat food', 'yogurt', 'beef', 'bottled beer', 'canned beer', 'candy', 'rolls/buns', 'shopping bags', 'berries']"
127,"['yogurt', 'bottled beer', 'meat', 'mayonnaise', 'rolls/buns', 'cream cheese', 'UHT-milk', 'butter', 'whole milk', 'fruit/vegetable juice']"
128,"['beef', 'chocolate', 'hard cheese', 'rolls/buns', 'shopping bags', 'whole milk', 'pastry']"
129,"['bottled beer', 'candy', 'rolls/buns', 'butter', 'whole milk', 'fruit/vegetable juice', 'root vegetables', 'ham']"
130,"['yogurt', 'candy', 'mayonnaise', 'rolls/buns', 'cream cheese', 'brown bread', 'whole milk', 'pastry', 'root vegetables', 'pet care']"
131,"['chicken', 'yogurt', 'beef', 'candy', 'hard cheese', 'rolls/buns', 'cream cheese', 'shopping bags', 'brown bread', 'semi-finished bread']"
132,"['chicken', 'yogurt', 'bottled beer', 'canned beer', 'hard cheese', 'rolls/buns', 'cream cheese', 'pickled vegetables', 'frozen meals', 'salty snack']"
133,"['chicken', 'yogurt', 'bottled beer', 'canned beer', 'chocolate', 'rolls/buns', 'shopping bags', 'pickled vegetables', 'frozen meals', 'whole milk']"
134,"['chicken', 'yogurt', 'beef', 'bottled beer', 'rolls/buns', 'cream cheese', 'dessert', 'frozen meals', 'butter', 'whole milk']"
135,"['canned beer', 'rolls/buns', 'dessert', 'brown bread', 'UHT-milk', 'whole milk', 'fruit/vegetable juice', 'root vegetables', 'canned fish', 'ham']"
136,"['bottled beer', 'liquor', 'shopping bags', 'brown bread', 'salty snack', 'berries', 'whole milk', 'soft cheese', 'cake bar', 'UHT-milk']"
137,"['chicken', 'yogurt', 'canned beer', 'candy', 'condensed milk', 'rolls/buns', 'hard cheese', 'shopping bags', 'pickled vegetables', 'salty snack']"
138,"['yogurt', 'beef', 'canned beer', 'candy', 'butter milk', 'hard cheese', 'rolls/buns', 'cream cheese', 'brown bread', 'butter']"
139,"['yogurt', 'beef', 'bottled beer', 'canned beer', 'chocolate', 'rolls/buns', 'shopping bags', 'UHT-milk', 'salty snack', 'frozen meals']"
140,"['yogurt', 'chocolate', 'rolls/buns', 'dessert', 'UHT-milk', 'frozen meals', 'whole milk', 'pastry', 'fruit/vegetable juice', 'root vegetables']"
141,"['yogurt', 'beef', 'bottled beer', 'canned beer', 'UHT-milk', 'dessert', 'fruit/vegetable juice', 'root vegetables']"
142,"['bottled beer', 'rolls/buns', 'cream cheese', 'shopping bags', 'liquor', 'whole milk', 'fruit/vegetable juice', 'frankfurter']"
143,"['chicken', 'yogurt', 'beef', 'bottled beer', 'rolls/buns', 'shopping bags', 'UHT-milk', 'salty snack', 'butter', 'whole milk']"
144,"['flour', 'brown bread', 'salty snack', 'butter', 'berries', 'dish cleaner', 'meat', 'soft cheese', 'whole milk', 'pastry']"
145,"['chicken', 'yogurt', 'bottled beer', 'chocolate', 'condensed milk', 'liquor', 'rolls/buns', 'flour', 'brown bread', 'berries']"
146,"['yogurt', 'beef', 'bottled beer', 'meat', 'chocolate', 'rolls/buns', 'shopping bags', 'salty snack', 'soft cheese', 'whole milk']"
147,"['yogurt', 'beef', 'bottled beer', 'candy', 'canned beer', 'meat', 'rolls/buns', 'brown bread', 'salty snack', 'whole milk']"
148,"['beef', 'canned beer', 'candy', 'brown bread', 'butter', 'salty snack', 'detergent', 'cling film/bags', 'condensed milk', 'whole milk']"
149,"['yogurt', 'candy', 'meat', 'bottled beer', 'canned beer', 'rolls/buns', 'liquor', 'shopping bags', 'brown bread', 'berries']"
150,"['yogurt', 'bottled beer', 'meat', 'canned beer', 'chocolate', 'hard cheese', 'rolls/buns', 'liquor', 'shopping bags', 'cake bar']"
151,"['chicken', 'yogurt', 'beef', 'rolls/buns', 'UHT-milk', 'brown bread', 'butter', 'soft cheese', 'mustard', 'coffee']"
152,"['yogurt', 'cat food', 'beef', 'bottled beer', 'hard cheese', 'rolls/buns', 'cream cheese', 'shopping bags', 'UHT-milk', 'brown bread']"
153,"['yogurt', 'bottled beer', 'chocolate', 'rolls/buns', 'shopping bags', 'frozen meals', 'whole milk', 'dish cleaner', 'fruit/vegetable juice', 'canned fish']"
154,"['yogurt', 'bottled beer', 'canned beer', 'chocolate', 'rolls/buns', 'shopping bags', 'soft cheese', 'mustard', 'whole milk', 'fruit/vegetable juice']"
155,"['chicken', 'cat food', 'yogurt', 'butter milk', 'bottled beer', 'beef', 'rolls/buns', 'cream cheese', 'shopping bags', 'brown bread']"
156,"['chicken', 'yogurt', 'butter milk', 'canned beer', 'beef', 'bottled beer', 'rolls/buns', 'shopping bags', 'brown bread', 'semi-finished bread']"
157,"['yogurt', 'beef', 'bottled beer', 'condensed milk', 'rolls/buns', 'shopping bags', 'brown bread', 'whole milk', 'pastry', 'pet care']"
158,"['chicken', 'yogurt', 'butter milk', 'bottled beer', 'meat', 'rolls/buns', 'shopping bags', 'dessert', 'berries', 'whole milk']"
159,"['chicken', 'beef', 'bottled beer', 'flour', 'rolls/buns', 'root vegetables', 'herbs', 'dog food', 'onions', 'chewing gum']"
160,"['yogurt', 'beef', 'canned beer', 'candy', 'mayonnaise', 'rolls/buns', 'cream cheese', 'dessert', 'butter', 'brown bread']"
161,"['yogurt', 'bottled beer', 'rolls/buns', 'dessert', 'butter', 'whole milk', 'frankfurter', 'onions']"
162,"['chicken', 'dessert', 'frozen meals', 'whole milk', 'pastry', 'fruit/vegetable juice', 'root vegetables', 'herbs', 'dog food']"
163,"['chicken', 'yogurt', 'beef', 'canned beer', 'rolls/buns', 'shopping bags', 'frozen meals', 'semi-finished bread', 'whole milk', 'butter']"
164,"['bottled beer', 'meat', 'canned beer', 'shopping bags', 'whole milk', 'coffee', 'fruit/vegetable juice', 'root vegetables', 'pet care', 'dog food']"
165,"['yogurt', 'meat', 'rolls/buns', 'cream cheese', 'shopping bags', 'butter', 'frozen meals', 'detergent', 'fruit/vegetable juice', 'root vegetables']"
166,"['yogurt', 'canned beer', 'rolls/buns', 'cream cheese', 'UHT-milk', 'butter', 'whole milk', 'fruit/vegetable juice', 'root vegetables', 'onions']"
167,"['yogurt', 'candy', 'bottled beer', 'canned beer', 'rolls/buns', 'cream cheese', 'shopping bags', 'brown bread', 'butter', 'whole milk']"
168,"['beef', 'canned beer', 'bottled beer', 'mayonnaise', 'shopping bags', 'brown bread', 'salty snack', 'whole milk', 'coffee', 'canned fish']"
169,"['beef', 'canned beer', 'brown bread', 'berries', 'butter', 'mustard', 'detergent', 'herbs', 'chewing gum', 'cling film/bags']"
170,"['yogurt', 'beef', 'bottled beer', 'canned beer', 'candy', 'chocolate', 'flour', 'hard cheese', 'rolls/buns', 'brown bread']"
171,"['chicken', 'yogurt', 'beef', 'canned beer', 'mayonnaise', 'rolls/buns', 'shopping bags', 'brown bread', 'berries', 'salty snack']"
172,"['beef', 'canned beer', 'salty snack', 'berries', 'mustard', 'herbs', 'meat', 'whole milk', 'pastry', 'onions']"
173,"['beef', 'canned beer', 'candy', 'brown bread', 'salty snack', 'butter', 'mustard', 'dish cleaner', 'cling film/bags', 'bottled beer']"
174,"['yogurt', 'candy', 'meat', 'chocolate', 'rolls/buns', 'cream cheese', 'shopping bags', 'dessert', 'salty snack', 'brown bread']"
175,"['chicken', 'yogurt', 'beef', 'rolls/buns', 'cream cheese', 'shopping bags', 'brown bread', 'frozen meals', 'root vegetables', 'whole milk']"
176,"['bottled beer', 'candy', 'canned beer', 'chocolate', 'rolls/buns', 'cream cheese', 'liquor', 'semi-finished bread', 'whole milk', 'root vegetables']"
177,"['yogurt', 'bottled beer', 'chocolate', 'cream cheese', 'brown bread', 'salty snack', 'whole milk', 'coffee', 'fruit/vegetable juice', 'root vegetables']"
178,"['cat food', 'beef', 'bottled beer', 'candy', 'canned beer', 'mayonnaise', 'hard cheese', 'cream cheese', 'shopping bags', 'UHT-milk']"
179,"['chicken', 'cat food', 'beef', 'candy', 'meat', 'bottled beer', 'butter milk', 'rolls/buns', 'brown bread', 'berries']"
180,"['chicken', 'yogurt', 'canned beer', 'candy', 'chocolate', 'rolls/buns', 'shopping bags', 'whole milk', 'pastry', 'fruit/vegetable juice']"
181,"['canned beer', 'candy', 'rolls/buns', 'shopping bags', 'brown bread', 'butter', 'whole milk', 'pastry', 'fruit/vegetable juice', 'root vegetables']"
182,"['chicken', 'yogurt', 'cat food', 'butter milk', 'beef', 'bottled beer', 'candy', 'chocolate', 'rolls/buns', 'cream cheese']"
183,"['yogurt', 'cat food', 'butter milk', 'hard cheese', 'rolls/buns', 'shopping bags', 'frozen meals', 'whole milk', 'cake bar', 'detergent']"
184,"['yogurt', 'beef', 'candy', 'meat', 'flour', 'rolls/buns', 'liquor', 'UHT-milk', 'butter', 'whole milk']"
185,"['beef', 'canned beer', 'butter', 'cat food', 'bottled beer', 'meat', 'condensed milk', 'soft cheese', 'whole milk', 'pastry']"
186,"['yogurt', 'bottled beer', 'canned beer', 'candy', 'chocolate', 'rolls/buns', 'cream cheese', 'dessert', 'berries', 'frozen meals']"
187,"['chicken', 'cat food', 'yogurt', 'beef', 'canned beer', 'bottled beer', 'chocolate', 'rolls/buns', 'shopping bags', 'pickled vegetables']"
